y	w1star	w2star	s
0	-0.50875506	-0.00825698	1
0	-0.46634641	-0.50138935	1
0	-0.20319354	-0.11550535	1
0	0.79264914	0.73133987	1
0	-0.48780336	-0.22735897	0
0	0.1117734	0.340131	0
1	-0.11899264	-0.55855431	1
0	0.05633391	-0.01145844	1
0	0.0983654	0.30217159	1
0	-0.1944445	6.253e-05	0
0	-0.64706521	-0.49534979	1
1	0.31046389	0.49364352	0
1	0.04362553	-0.15376796	0
0	0.13351595	0.10274255	0
0	-1.16653456	0.1205492	1
0	-0.37623159	-0.13658414	0
0	-0.34304294	-0.19656259	1
0	0.24044085	0.34057723	0
0	0.01750172	-0.19823029	1
0	0.15869271	0.25768865	1
0	0.1651054	-0.28495009	0
0	0.05276631	-0.61416977	1
0	0.00962316	0.03549815	0
0	0.1262217	-1.04068277	1
0	-0.44998627	-0.19550556	1
0	0.1330532	-0.05648432	0
0	0.15959875	0.18146975	1
0	0.27875048	-0.25196805	1
0	-0.21121091	-0.07320829	0
0	-0.38568183	-0.14672228	1
0	0.10078394	0.02805385	0
0	0.35322498	0.2764172	0
0	0.13874716	0.49365515	1
0	-0.03933735	-0.14764495	1
0	0.12781755	0.1817962	0
0	0.39460081	-0.18691103	1
0	-0.09496063	-0.21727613	0
0	-0.07810963	-0.71687131	1
0	0.12197124	-0.22659529	1
0	-0.11603405	-0.14593749	0
0	-0.7742225	0.18608972	1
0	-0.7191232	-0.07832836	1
1	-0.15555079	-0.64029494	1
1	0.23495803	0.17250758	1
0	-0.76655976	-0.60308984	1
0	0.13356192	0.22240803	1
0	-0.30468117	-0.16600439	0
0	0.07220474	0.04148299	0
0	0.30319461	0.28320718	1
0	-0.13428663	-0.0916684	1
0	-0.10941144	0.06032311	0
0	0.44949904	0.3186307	1
0	0.15485116	0.16179353	0
0	-0.01699909	0.12838919	0
0	-0.59112734	0.98602462	1
0	0.70619522	0.2435097	1
0	0.18007634	-0.29037564	1
0	-0.12390521	-0.15028363	0
0	0.36288956	-0.10300676	1
0	-0.10194861	-0.05912285	0
0	-0.09087563	-1.09328242	1
1	-0.18066832	0.17893381	1
1	0.4558312	0.04841222	1
0	-0.02378826	-0.28574347	1
0	0.57637117	-0.03788863	1
0	0.31236745	-0.1631078	1
0	-0.15671591	-0.5375897	1
0	0.030656	0.04040015	0
0	-0.53583435	-0.01241714	1
0	-0.42181577	-0.03503352	1
0	0.3123118	-0.05068866	1
0	-0.25702608	-0.03083767	0
0	-0.08233826	-0.00733624	0
0	0.12488499	-0.01910149	0
0	-0.34443077	0.51732806	1
0	-0.03532865	-0.57889098	1
1	0.67614809	0.61866176	0
0	-0.09642369	0.25039676	0
0	-0.13981088	-0.06674524	1
1	-0.029658	0.18576326	0
0	0.1651054	6.253e-05	0
0	-0.15093882	-0.12987263	0
0	0.61342092	-0.27061733	1
0	0.42981895	0.34001911	1
0	0.28978505	0.04785622	1
0	0.13850069	-0.27928953	1
1	-0.08376479	-0.04994828	0
0	-0.15986775	-0.59619553	1
0	0.50507068	-0.12848689	1
1	-0.2782111	0.35639391	1
1	-0.278445	-0.11756587	1
0	-0.56696625	0.35280212	1
0	-0.22879865	0.19473324	1
0	-0.33246342	0.22657531	1
0	-0.1998209	-0.07936853	0
0	-0.06209823	0.25252896	0
1	-0.04236552	0.07378552	1
0	-0.7171542	0.12631091	1
0	-0.39618973	-0.59582933	1
0	-0.20982554	-0.37408006	1
0	0.51751924	0.48855775	1
0	-0.7669819	-0.43995792	1
1	0.80341316	0.69139245	1
0	0.25967399	0.13962562	0
0	0.05269092	-0.37994487	1
0	-0.10505314	0.14399436	1
0	0.77919972	-0.71640009	1
0	0.58069009	-0.1644383	1
0	0.15212909	0.17656055	0
0	-0.12072653	0.09261678	1
0	-0.05901234	0.04890557	1
0	-0.52476363	0.04346794	1
1	0.01331322	0.09648344	0
0	-0.16988242	-0.07002325	1
0	0.28506462	-0.05658719	1
0	0.09923835	-0.09537619	0
1	-0.49586823	-0.19323213	1
0	-0.02811882	0.44863656	1
0	0.02451823	-0.02482223	1
1	0.26887901	-0.15681859	1
0	0.13073301	0.10094506	0
0	0.00286291	0.1682851	1
0	0.38039607	0.01750596	1
0	0.13535508	-0.13232833	1
0	0.51544407	-0.14434711	1
0	0.33241749	0.12257294	1
0	-0.0256591	-0.43156829	1
0	0.26325503	0.49241047	0
0	-0.25752814	0.16063313	1
0	-0.87344956	0.11986692	1
0	-1.14845462	-0.16092198	1
1	0.52443287	0.399287	0
0	-0.22760583	-0.09546509	0
0	0.1394875	-0.16877737	1
1	-0.4028138	0.22924728	1
1	0.29064893	0.00599103	1
0	-0.24022083	0.29395417	1
0	0.6396947	0.33203001	0
1	-0.22639112	0.16255001	1
0	-0.00465279	0.01795249	0
0	0.33809523	0.4232286	0
0	0.19658389	1.07156107	1
1	0.18573346	-0.03871185	0
0	0.07181242	0.08669839	0
1	-0.34096651	-0.47170685	0
0	0.18259865	0.22068505	0
0	0.77562291	0.22947311	1
0	-0.64491808	-0.0206788	1
0	-0.31937703	-0.32585655	1
0	0.10339982	0.29769265	1
0	-1.18473633	-0.06135018	1
0	-0.27613579	-0.87684254	1
0	0.15479576	-0.05648432	0
0	-0.39930131	-0.52678031	1
0	-0.48700272	-0.17886283	0
0	-0.23634053	0.19892362	1
0	-0.42561887	-0.16941593	1
0	-0.21340979	-0.76083276	1
0	-0.02488522	-0.35401657	1
0	-0.04683767	0.19168366	1
0	0.00016521	-0.42043144	1
0	-0.22170165	0.32515965	1
1	0.46866433	0.84070438	1
0	0.17121158	-0.31937665	1
0	0.50349801	0.29662531	0
0	-0.53968298	-0.40968052	0
0	0.45679387	-0.24159031	1
0	-0.24353439	-1.09667185	1
0	0.11587286	-0.28451409	1
0	-0.22756292	-0.12628263	1
0	-1.06339058	-0.19026549	1
0	0.75371945	-0.00938931	1
0	-0.32278269	-0.28625048	0
0	-0.21301154	-0.12769136	1
0	0.3912536	0.5414848	1
0	-0.11256923	0.1867134	1
0	0.34153956	0.16454953	0
0	-0.17995074	-0.00421541	0
1	-0.2129727	0.01495007	1
0	0.08239322	-0.35887327	1
0	0.02697354	0.15004748	1
0	0.10305559	0.2472533	1
0	0.08609228	0.2554409	1
0	-0.1585173	0.18076272	1
0	-0.0233933	-0.9577987	1
0	0.43955012	0.76455818	1
0	-0.15012532	0.38435608	1
0	0.03828255	-0.07845142	1
0	-0.04357377	-0.36477628	1
0	-0.02487327	-0.13968252	0
0	-0.57426922	0.0436275	1
0	0.26793004	-0.58886365	1
0	-0.69029915	-0.70461866	1
1	-0.48831535	-0.24625871	1
0	-0.30297042	-0.14906553	1
0	0.07220474	0.19210584	0
0	0.3013857	0.37365156	1
0	-0.52363391	-0.17330223	1
0	-0.11603405	-0.00882923	0
0	-0.4841062	-0.15162339	1
0	-0.16502425	-0.08178483	0
0	-0.66426812	-0.07744063	1
0	-0.68976085	-0.34254499	1
1	0.00302133	-0.2554347	1
0	0.02923352	0.16665923	0
1	-0.31374121	-0.41697116	1
0	0.38625066	-0.13974969	1
1	0.18573346	0.17189488	0
0	0.05505108	-0.18733761	0
0	-0.19533657	-0.23847704	0
0	0.27165859	0.14952694	0
0	0.25348745	-0.26456715	1
0	0.60022408	0.09714795	1
0	-0.77141204	-0.25884825	1
0	0.02925052	0.34214128	1
0	0.19177872	0.28386201	1
1	-0.08869462	0.02154113	1
0	-0.029658	-0.14731626	0
0	0.06291801	0.44413271	1
0	0.36127622	0.09044098	1
0	0.36995624	0.01934079	1
0	0.4026658	-0.38162206	1
0	0.76890543	-0.19965069	1
0	0.01799709	0.0390433	0
0	-0.26826561	0.69198597	1
0	-0.58233177	-0.09208107	1
0	-0.11318504	-0.20142305	0
1	0.39139742	0.27216537	1
0	-0.15979955	-0.22504949	0
0	-0.16502425	-0.05076063	0
0	-0.51882283	0.10879822	1
0	0.51964815	0.27823101	0
0	0.07505726	0.25493556	1
0	-0.23143392	0.07991073	1
0	-0.43663574	-0.10894678	1
0	-0.49425507	-0.46236078	0
0	0.18141572	-0.41798059	1
0	-0.55124014	-0.23440406	1
1	-0.13771797	0.14949942	1
0	-0.23005421	-0.16715615	1
0	0.01870907	0.09785686	1
1	-0.03348426	0.38563913	1
1	-0.38983311	0.23766665	1
0	-0.01251451	-0.05243291	1
0	0.66852019	0.27564406	1
1	0.84279855	0.11378408	1
0	-0.22843837	-0.36598601	1
0	-0.5066698	0.27890143	1
0	0.3364555	0.3447678	1
1	-0.21083638	0.09568703	1
0	0.12927231	-0.44505381	1
1	-0.18854802	0.35632687	1
0	-0.23239055	-0.26985557	0
0	0.44347367	0.04187013	1
0	0.13649576	0.19010746	1
0	-0.24063116	-0.2414444	0
1	0.4070478	0.17482093	1
0	-0.16023356	0.10591223	1
0	-0.088186	-0.28368196	1
0	0.541304	0.37971447	1
0	-0.05345248	-0.1443664	0
0	-0.00465279	0.08669839	0
0	-0.29918891	0.07369656	1
0	0.13159615	0.55750484	1
1	0.35531971	0.61042994	1
0	-0.2445566	0.0680752	0
0	0.12488499	0.11747549	0
0	0.09072164	0.01067753	1
0	0.09694035	-0.89517015	1
0	0.50676377	-0.07422936	1
0	0.58466949	-0.28336415	1
0	0.11216765	-0.68901082	1
0	0.03798833	-0.01910149	0
0	0.38379061	0.13562043	1
0	-0.40354058	-0.47483159	1
0	0.11398628	0.44845222	1
0	-0.28264417	0.28788742	1
0	0.07831109	0.15126682	0
0	0.50299795	-0.18741025	1
0	0.32996497	0.59777099	0
0	0.55161776	0.39024835	1
0	-0.13723933	-0.09617683	0
1	0.15090887	0.23966587	1
0	-0.41204149	-0.62493464	1
0	0.03567977	0.50357138	1
0	-0.14323762	0.02714241	1
0	-0.03895334	0.20235453	1
0	-0.08376479	-0.39652187	0
0	-0.05936971	-0.09975083	0
1	0.18070829	0.16665923	0
1	0.41017731	-0.42696216	1
0	-0.24779664	-0.22483986	1
0	-0.40585182	-0.42097633	1
0	-0.21945232	-0.19976023	1
1	0.23813482	0.16491726	1
0	0.13934565	-0.09608771	1
0	0.7143423	0.34669059	1
0	0.03353515	-0.72806135	1
0	0.50485023	-0.46804822	1
0	-0.02991924	0.50421548	1
0	-0.24209959	-0.23154309	0
0	-0.67171472	-0.3821118	1
0	0.73418899	0.03912725	1
0	-0.41608878	0.17015676	1
0	0.02967865	-0.66479366	1
0	-0.1246798	-0.160304	0
1	-0.50293892	-0.42537709	1
0	0.13956698	-0.2579883	1
0	0.14955583	0.01818639	1
0	0.02061262	0.08010871	0
0	0.26152828	0.00941812	1
0	-0.1867405	-0.32471297	1
0	-0.00049199	-0.06227036	1
0	-0.05413144	0.13011301	1
0	0.01916124	0.12838919	0
0	0.02386858	0.18503451	1
0	0.18573346	0.10868792	0
0	-0.00526292	0.14051372	0
0	0.28307019	-0.64214861	1
1	0.39442445	0.06254954	1
0	0.01916124	0.04040015	0
1	-0.50147381	-0.34113135	1
0	0.14047793	0.14262967	1
0	0.08277589	0.2950242	1
0	0.36843641	0.5567222	1
0	-0.11495103	-0.42385657	1
0	0.35828192	-0.09676258	1
0	-0.57605967	-0.2585686	1
0	-0.4492606	-0.03481867	1
1	0.42236024	0.49238304	0
1	-0.23543459	0.10124623	1
0	-0.26577875	0.11760185	1
1	0.81803217	0.65858473	0
0	0.38264699	0.58871649	1
0	0.06115157	0.4452719	1
0	-0.63971609	-0.43627	1
0	-0.05161364	-0.60505459	1
0	0.2875392	0.12534632	1
0	0.35441581	0.3711431	0
0	0.76862825	0.46935132	1
0	0.73061239	0.544498	1
0	0.01804454	0.43027267	1
0	0.2123474	-0.35650123	1
0	-0.1369393	-0.0924523	1
1	0.30451346	0.79277496	1
0	-0.26465981	-0.30212483	0
0	0.03647239	-0.42718335	1
1	0.40659886	-0.28626367	1
0	-0.42051679	0.00209365	1
0	0.46937989	-0.12543218	1
0	-1.01004408	-0.42648253	1
1	-0.28445703	-0.16199327	1
0	0.25493462	0.66230951	0
0	0.01538529	0.0159253	1
0	0.1074346	0.14241396	1
0	0.17444749	-0.86713521	1
0	0.29228007	0.17210317	0
1	-0.20207824	-0.11578719	0
0	0.13351595	-0.08525706	0
0	0.84109218	0.27827252	1
0	0.030656	-0.08525706	0
0	-0.27460108	-0.19072624	1
0	-0.26465981	-0.17467871	0
0	0.14336285	0.31612639	0
1	0.08545729	0.57077092	1
0	-0.53968298	-0.12987263	0
0	-0.34776097	-0.21697514	1
0	-0.05530464	-0.20142305	0
0	0.08171468	-0.27446915	1
0	0.55302562	1.07751865	1
0	-0.48134656	-0.08272782	1
0	0.55280231	1.0746951	1
0	0.56379445	0.51122881	0
1	-0.42767721	0.45948109	1
0	0.0903006	0.67602008	1
0	0.21530657	0.80766982	1
0	0.05110606	-0.51771556	1
0	-0.30690834	-0.5008413	0
0	0.10922462	0.1824444	1
0	-0.68477401	-0.89809775	1
0	-0.46546743	0.36860386	1
0	0.295535	0.48147038	1
0	0.55689379	0.25546708	1
1	0.22339595	-0.13240406	1
0	0.19588387	-0.24308264	1
0	-0.1658653	-0.1443664	0
0	-0.29193185	-0.2542019	1
1	0.23366558	-0.1038452	1
0	-0.11140456	-0.12858875	1
1	0.34121253	-0.40331716	1
0	-0.12276336	-0.78779964	1
0	0.05077862	0.44125343	1
0	0.40942974	0.15237628	1
0	-0.11099169	-0.25657758	1
0	-0.01699909	-0.03083767	0
0	-0.10953025	-0.02686164	1
0	0.35666519	0.03536961	1
0	0.02033803	-0.31614761	1
0	-0.2100865	-0.20438757	1
0	-0.56728542	0.29936654	1
0	0.13979409	-0.40798418	1
0	-0.02348525	0.81450714	1
0	-0.21425667	0.30315445	1
0	0.34643983	-0.03912337	1
0	-0.10430428	0.47635069	1
0	-0.25702608	-0.31851974	0
0	-0.08899735	-0.07901438	1
0	-0.20464794	-0.24300577	1
0	-0.1246798	-0.03083767	0
0	-0.28677933	0.1831747	1
0	0.44932537	-0.06429974	1
0	0.06540844	0.150268	1
0	0.88814761	-0.39587603	1
0	0.02652988	-0.55019288	1
0	-0.24031692	-0.32983108	1
0	0.54923927	0.70497205	1
0	-0.23256153	-0.17121603	1
0	0.70756758	0.65747319	1
0	-0.84790566	0.57043221	1
0	-0.03865444	-0.14337927	1
0	-0.08465845	-0.01849136	0
0	-0.28828625	-0.04349658	0
0	-0.93929881	-0.56848825	1
0	0.17520676	0.28761606	0
0	-0.80920313	-0.46623642	1
0	-0.40086711	-0.36202543	0
0	-0.26465981	-0.25593817	0
0	-0.34818685	-0.3578009	0
0	-0.0481256	0.05854446	1
0	0.36718621	0.45467014	0
0	-0.43934763	0.09611993	0
0	0.13046551	-0.48004119	1
0	0.68783461	0.57937236	1
0	-0.09583713	1.13735226	1
0	-0.36231326	-0.44315184	1
0	0.2420047	-0.08964197	1
0	-0.48301864	0.07570894	0
0	1.05791165	0.5465236	1
0	-0.11037946	0.40108599	1
0	-0.06332431	0.24297739	1
0	0.11917354	-0.27964763	1
0	-0.428173	-0.26213751	1
0	0.5509452	0.52558038	1
0	-0.10866012	-0.30320126	0
0	-0.00223853	0.22924426	1
0	-0.2202288	-0.20398553	1
0	0.62495369	0.36142418	1
1	0.31143013	0.37849609	1
0	0.06260901	-0.15000786	1
0	0.80015761	0.15877517	1
0	0.21012854	-0.01849136	0
0	-0.03526608	0.2801771	1
0	0.99649397	-0.01585359	1
0	-0.05142821	0.06149079	1
0	-0.05911774	-0.03827101	1
0	0.44663876	0.78654694	1
0	-0.2898882	-0.58539499	1
0	-0.30210554	-0.22483113	1
0	0.17161636	1.06835642	1
0	-0.09223223	-0.42836692	1
0	-0.67011023	-0.51899384	1
0	0.58748108	0.43129178	0
0	-0.22238946	-0.27765638	1
0	0.1117734	-0.06981844	0
0	-0.39026016	0.04484175	1
1	0.26884366	0.04242855	0
0	0.01229814	0.12353373	1
0	-0.01778889	-0.2508504	1
0	-0.63282554	0.49305297	1
0	-0.25944156	0.32268951	1
0	0.15673851	0.49837074	1
0	-0.20701249	-0.03931246	1
0	-0.04926835	0.04712973	0
0	0.18439394	-0.17564294	1
0	0.31222662	0.87903522	1
0	-0.15043234	-0.79815352	1
0	0.44426155	0.39370332	0
0	-0.03153353	0.14296583	1
0	1.13176544	0.75592012	1
0	-0.39690757	0.09626128	1
0	-0.15533559	0.14415352	1
0	0.17056463	0.53424871	1
0	0.66119953	0.82094853	1
1	0.38204593	0.37204281	1
0	0.22607247	-0.00385128	1
0	0.52189229	0.8261327	1
0	0.43079462	0.40946163	1
0	-0.34702539	0.24055332	1
0	-0.42891185	-0.36202543	0
1	0.19438254	0.0758396	1
0	-0.34936947	0.06846876	1
0	0.04067639	-0.68043676	1
0	-0.46668142	-0.13605152	1
0	-0.3165507	0.53325898	1
0	0.34443919	-0.01387733	1
0	-0.44305955	0.48179815	1
0	-0.15583027	0.26013227	1
0	0.05274633	0.23990063	1
0	0.1510699	-0.27423016	1
0	0.34237791	0.3054751	0
0	-0.57196721	-0.27022052	1
0	-0.1435242	0.12308914	1
0	0.25869208	-0.29193674	1
0	-0.67364427	-0.19493685	1
1	-0.029658	-0.11026227	0
0	0.28520935	0.41053506	1
0	-0.34144651	0.14850503	1
0	0.0643953	0.04906909	1
0	0.44855226	-0.31378865	1
0	0.22057688	-0.04431965	1
1	-0.00500532	-0.56295491	1
0	-0.58857703	-0.1045858	1
0	-0.21770451	-0.15028363	0
0	0.24031249	-0.3966751	1
0	0.33400393	0.05290898	1
0	0.18106186	0.21811546	1
0	0.49043167	1.18730699	1
0	0.12181677	0.11104642	0
0	0.48284185	-0.2328185	1
0	-0.55099593	-0.16005282	1
0	0.01931429	0.3180252	1
0	0.47544267	0.42605613	0
0	0.26969921	-0.21166054	1
0	-0.72077377	0.02856226	1
0	-0.2150689	-0.03191344	1
0	0.42115583	-0.29327529	1
1	-0.51196496	-0.06222667	1
0	0.58892963	0.12367262	1
0	-0.28760869	-0.38673685	1
0	-0.01632237	-0.40197555	1
0	-0.58881251	0.01788533	1
0	0.22728113	0.35007449	1
0	-0.17449221	-0.09776723	1
0	-0.19875862	-0.30083214	1
0	-0.09509954	-0.02938421	1
0	-0.14252727	-0.48693721	1
0	0.97139798	0.13314901	1
0	-0.43237908	-0.05193655	1
0	0.47763983	-0.97220483	1
1	0.13015145	0.8612558	1
0	0.1117734	-0.12987263	0
0	0.24911854	-0.51323381	1
1	0.3971157	-0.48306776	1
0	0.32643969	0.12952427	0
1	-0.24137034	-0.26273624	1
0	-0.35612838	-0.20917514	0
0	0.26329963	0.26435605	0
0	0.73464064	0.76961564	1
0	-0.27189134	-0.17886283	0
0	0.20399375	0.04879637	1
0	0.19602294	-0.19548736	1
0	-0.02610626	-0.07180645	1
0	0.04189242	-0.08351793	0
1	0.10673286	0.10765459	1
0	-0.44834859	-0.7973797	1
